Package Name,App Name,Status,Icon Downloaded
androidYeshiva.apps.yeshiva.yeshivawebsite,Yeshiva Website,Exists,Yes
com.truecaller,Truecaller: Spam Call Blocker,Exists,Yes
com.kidscrape.touchlock.lite,Touch Lock - screen lock,Exists,Yes
com.gettaxi.android,Gett- Corporate Ground Travel,Exists,Yes
kaplandev.allfmplayer,All-FM -Israeli radio stations,Exists,Yes
aiv.diy.control,,Not Found (HTTP 404),No
com.spotify.music,Spotify: Music and Podcasts,Exists,Yes
il.co.firstdigitalbank,ONE ZERO,Exists,Yes
heb.apps.shnaimmikra,Shnayim Mikra Ve-echad Targum,Exists,Yes
com.nocker.kehati,Kehati Mishna Sdura,Exists,Yes
